Name,Longitude,Latitude,Type
清华大学附属实验学校,116.319074,40.009069,科教文化服务;学校;中学
清华大学燃气轮机研究院,116.327005,40.001011,科教文化服务;科研机构;科研机构
清华大学静斋,116.321638,40.001493,科教文化服务;学校;高等院校
清华大学新斋,116.323479,40.00598,科教文化服务;学校;高等院校
清华大学罗姆楼,116.336583,40.00506,科教文化服务;学校;学校
清华大学节水科研教育基地,116.326957,40.012298,科教文化服务;科研机构;科研机构
清华大学陈赛蒙斯楼,116.32318,39.997955,科教文化服务;学校;学校
清华大学伟伦馆,116.31983,40.004245,科教文化服务;学校;高等院校
清华大学实验动物中心,116.317973,40.005824,科教文化服务;学校;高等院校
清华大学国家大型科学仪器中心,116.33434,40.001197,科教文化服务;学校;高等院校
清华大学体育场(熙春路),116.321746,40.004607,体育休闲服务;运动场馆;综合体育馆
清华大学西阶梯教室,116.324025,40.003307,科教文化服务;学校;高等院校
清华大学瀑布,116.321785,40.003425,风景名胜;风景名胜;风景名胜
清华大学纪念品,116.324405,40.000438,科教文化服务;学校;学校
清华大学土木工程系(建设中),116.330572,40.003667,科教文化服务;学校;高等院校
清华大学早期建筑,116.324929,40.002082,科教文化服务;学校;高等院校
清华大学气动技术中心,116.332899,39.998169,科教文化服务;学校;高等院校
清华大学建设管理系,116.330565,40.003723,科教文化服务;学校;高等院校
清华大学生命科学楼,116.319825,40.004277,科教文化服务;学校;学校
清华大学艺术博物馆,116.337088,40.001873,科教文化服务;博物馆;博物馆
清华大学黄松益楼,116.32789,40.001983,科教文化服务;学校;学校
清华大学数学科学系荷二办公区,116.320768,40.003177,科教文化服务;学校;高等院校
清华大学iCenter,116.329201,39.997395,科教文化服务;科研机构;科研机构
清华大学财务处,116.327541,40.005997,科教文化服务;学校;高等院校
清华大学建设管理系,116.330565,40.003723,科教文化服务;学校;高等院校
清华大学生命科学楼,116.319825,40.004277,科教文化服务;学校;学校
清华大学艺术博物馆,116.337088,40.001873,科教文化服务;博物馆;博物馆
清华大学黄松益楼,116.32789,40.001983,科教文化服务;学校;学校
清华大学数学科学系荷二办公区,116.320768,40.003177,科教文化服务;学校;高等院校
清华大学iCenter,116.329201,39.997395,科教文化服务;科研机构;科研机构
清华大学财务处,116.327541,40.005997,科教文化服务;学校;高等院校
清华大学-汽车工程系,116.334165,40.007754,科教文化服务;学校;高等院校
清华大学郑裕彤医学楼,116.318543,40.003832,科教文化服务;学校;学校
清华大学平斋,116.321422,40.006152,科教文化服务;学校;高等院校
清华大学教育研究院,116.32774,40.001944,科教文化服务;学校;高等院校
清华大学法学楼,116.332423,39.997587,科教文化服务;学校;学校
清华大学科学馆,116.324083,40.002867,科教文化服务;科教文化场所;科教文化场所
清华大学建筑学院建筑技术科学系,116.32522,40.00166,科教文化服务;学校;高等院校
清华大学建筑馆,116.332835,39.999535,科教文化服务;科教文化场所;科教文化场所
清华大学水利水电工程系,116.325503,40.003403,科教文化服务;学校;高等院校
清华大学母育子,116.322865,40.000959,风景名胜;风景名胜;风景名胜
清华大学伍舜德楼,116.318054,40.004444,科教文化服务;学校;学校
清华大学图书馆,116.323323,40.004782,科教文化服务;图书馆;图书馆
清华大学电工电子实验教学中心,116.331533,40.001109,科教文化服务;学校;高等院校
清华大学停车场,116.317964,40.00345,交通设施服务;停车场;公共停车场
清华大学编教中心,116.334631,40.006367,科教文化服务;科教文化场所;科教文化场所
清华大学校内,116.333139,39.995838,科教文化服务;科教文化场所;科教文化场所
清华大学美术学院,116.335242,40.000041,科教文化服务;学校;高等院校
